###PLEASE READ
#This file contains mean gene expression values for every gene in every cell type of Drosophila melanogaster Ral517, as published in Witt et al. 2019. It is important to note that for most genes you are likely to observe a drop-off in expression in late spermatocytes, early spermatids, and late spermatids due to global post-meiotic down-regulation of gene expression.  Be careful not to over-interpret such events unless your #gene of interest deviates from global expression trends. 
#


"RNA.Early.spermatids" "RNA.Late.spermatocytes" "RNA.Early.spermatocytes" "RNA.Hub.cells" "RNA.Cyst" "RNA.Late.spermatogonia" "RNA.GSC..Early.spermatogonia" "RNA.Epithelial.cells" "RNA.Late.spermatids"
"Su(Ste):CR42418" 0.000271827925094771 0.00106925721089653 0.00632126157183414 0.0142308705799791 0.0123739736620391 0.0273070066939294 0.0422630591588853 0 0
"Mst77Y-16Psi" 1.6988936213125 1.87489137815086 2.03719703618214 1.92094943489514 1.87282598727499 1.71853537048432 0.886493580368672 1.57984005010935 1.34088213485158
"CG40635" 0.00143769814176078 0.00047414194013806 0 0 0.000138691017258807 0 0.00401202963436165 0 0
"Su(Ste):CR42439" 0 0.00117492773581319 0.00254692006904694 0.00320873636990216 0.00979869040782425 0.00921227443782494 0.016469081754651 0.000718962875920524 0
"SteXh:CG42398" 0 0.000281399625457098 0 0 0.000309334199816493 0.00128574334351385 0 0 0
"Su(Ste):CR42433" 0 0.000203590004341557 0.00225912321120686 0.00460524740310099 0.00769838949113225 0.0184292608641284 0.00673660175012913 0 0
"CG41561" 1.41103038752381 1.4562133088128 0.945150791722789 1.32800934828048 0.898512068109421 0.970339587416847 0.571840786599516 0.858603163087119 0.91809017867649
"CR45933" 0.00186546888584948 0.0018644393100055 0.00203992090070231 0.000833144209597755 0.0013054047444504 0.00119866262813254 0 0.00136522051587861 0
"CG31875" 0.597368616712218 1.01196562702024 1.26955608078271 1.10978389686826 1.25400164132307 1.18084687380586 0.992570919199656 0.472244807822361 0.274559904830878
"SoYb" 0.00243816163683 0.0030059672547471 0.00362189172843913 0.00486792823894907 0.00523080743443966 0.00716933745538426 0.0188331201782934 0.0302799615304586 0
"CG4747" 0.0236706367011533 0.02072380211515 0.0290032321716158 0.0683357099275339 0.086235893931829 0.357546803307383 1.13983661628203 0.102515318751084 0.00988610221636525
"CR44873" 0.00211027039814401 0.00463582491042421 0.00750050269361309 0.00778180226393616 0.0095135229421982 0.000945772166700667 0 0.00077462165928917 0.00630128718572604
"Trp1" 0.150343658978159 0.281601973772681 0.480853872933823 0.766954815490911 0.943408178507472 1.52882061215427 2.01786457905289 1.44633532271463 0.179822968793924
"CG13131" 0.106455043691218 0.184314912493536 0.194556044522493 0.252839425430988 0.221850596746636 0.215460429774895 0.0941844229327188 0.109439852066632 0.0777738693644741
"CG13127" 0.0433200887228514 0.0793719829985618 0.100456213373518 0.121628434052457 0.125167711405648 0.182737713570713 0.121303745931531 0.0406912580738583 0.857410181529656
"obst-B" 0.000938135322830658 0.000892281623639971 0.00358952159435239 0.00420616253285013 0.0275788847168714 0.0255861545415444 0.0038942753216888 0 0.00658623122018495
"CG33301" 0.00337464620546086 0.000342135627694853 0 0 0.000267525766811112 0 0 0.00326340508908443 0.0105022600863706
"CR44874" 0.00139304577618073 0.00120078575781065 0.00162219691717821 0 0.00127538157581013 0 0.00275683274102782 0 0
"CR44875" 0.00123016948818628 0.00461232517603925 0.00278382005459777 0.00929620949270907 0.00293351753404112 0.000915937626113162 0 0 0
"Cpr31A" 0.0502107263444884 0.0798322304805869 0.0918915786851333 0.102111274131575 0.0967646386249283 0.0454463747210956 0.0347026390010185 0.049613039596611 0.0518799971184983
"Pen" 35.9822024951236 43.2059280142901 27.7844547131115 50.1468521369845 27.9975431485362 27.6469903274489 18.1845685427817 25.8666119022229 35.8088978594591
"Zir" 0.0200422466214823 0.0181088446849649 0.0182073424057079 0.00547974633527769 0.0252190023522989 0.0462429431427806 0.101001190775992 0.0195439214185226 0.0285768983460976
"Spn31A" 0 0.000582084610217127 0.000324615424064423 0 0.00185930327704252 0.00267809185112085 0 0.00860899329875961 0
"CG44153" 0.00817051216331301 0.00462301834793364 0.00509161344222733 0.00768724913777707 0.00776010781734013 0.00458325313778072 0.00622447321585695 0.00225855178046154 0
"IA-2" 0.00960892669465272 0.0115083600992127 0.013713016615295 0.0108630878016411 0.0109713113148157 0.0197749626011822 0.00170054579017136 0.0224223627431864 0.0675672725453863
"CG34109" 0.007436802482997 0.0331391187054118 0.0611301997244574 0.0488061348118465 0.0719055292126517 0.0688569918995513 0.0318360920049207 0.0174201379666649 0
"CG13135" 0 0.000571759163886503 0.000976499126270794 0 0.00195950853860021 0.00213136709349255 0.00809358921305834 0 0
"CG4839" 0 0.00182617557355858 0.00158021466238477 0.0113216593085565 0.0029633941299638 0.00903815240751089 0.00704247492229175 0 0
"CG13137" 0.020185308111328 0.0181151153714971 0.0654092475119804 0.1208114552697 0.18312145203527 0.350008879522504 0.238506742064429 0.0309775278024698 0.018966126125374
"Sur" 0.01516279336682 0.0394498884580024 0.0428153852909636 0.0312804758678842 0.0370873335877828 0.0284452303871289 0.00974477435133551 0.0409596317495357 0.0143323231838603
"CG31874" 1.34142288310124 1.28692515975257 1.30840746494308 1.1385560206936 1.17817145323637 0.868758005412281 0.394690291135618 0.892398781020011 0.930471344699833
"Ripalpha" 0.248532949637522 0.287651965714209 0.378081330863669 0.510443947812206 0.565187185927101 0.970764822397699 1.23866301759442 0.136471082975339 0.12067801870632
"RpL7" 0.129934725733984 0.08856607876034 0.0810472182675119 0.463753220885122 0.67335932892938 3.70624100580304 12.3186572985389 4.62406216542461 0.202964084959172
"CG34159" 0.0494419450253049 0.0349302180499149 0.0352140146485669 0.0573546449683492 0.0471133954399652 0.0854280159646632 0.293237933206992 0.349687853069552 0.0350359061799686
"CG5734" 0.0321147473903782 0.0234186550012097 0.0269377787007269 0.0360542498686265 0.0548910356322534 0.173226647647161 0.507037196507705 0.0452205041443374 0.0184712835175845
"CG5731" 0.000818082703743702 0.00107258299277156 0.00352571013325777 0.00229641800531498 0.00364890986735454 0.00467963151078193 0.00144474764881768 0 0
"CR44845" 0 0.000226073382289524 0.000188167642315892 0 0.00012909590317766 0 0 0.00552458107101738 0
"CG5727" 0.97231312552023 1.00001569199259 1.05652000651081 1.29224232510729 1.50277894323506 1.9899505334215 1.84953196676202 0.66330997285555 0.491271637396922
"CG4901" 0.0197988282500042 0.00926955673243316 0.0111075621092803 0.0185154954791439 0.0229989522207724 0.0556766894871801 0.126581019448928 0.0232417197029082 0.00129008071131954
"Npc1a" 0.10024057083971 0.0661900958112572 0.0747158466868648 0.110751461209186 0.113335830190287 0.161450502011384 0.320531262689601 0.648784971595388 0.0717136193581723
"Prosalpha6" 0.0579402850062659 0.0434708175561209 0.0491144663502416 0.160696856607815 0.253535701634572 1.96786980787492 4.252234764144 0.647362978646988 0.0864019313781103
"CG4908" 0.00964981730774934 0.00822464560575131 0.0102118459098219 0.0211920210985504 0.0259085524195087 0.0501069875048389 0.134516858368159 0.0370287829568947 0.00875404546325971
"CG5708" 1.6308065726586 1.54120632392825 1.5867081629545 1.57290312149041 1.95327881121151 2.65884328046217 3.00888524724835 1.19600747998404 1.21845438821201
"CG5694" 0.00976584562905455 0.00966998728655399 0.0117064410359048 0.0244283370372659 0.0256729051921072 0.0659586944062275 0.171608954121937 0.0313208042077558 0
"eEF1delta" 0.602194084126051 0.601770405598775 0.730327882312364 1.32373592733285 1.58716363045708 4.21446245831647 8.29727716346402 1.4427675553725 0.442097716267124
"mthl15" 0.00421772235595572 0.00640069869221241 0.00787163343464387 0.00934592849185225 0.0109008266392888 0.00734261787110608 0.0123344552253688 0.00649987713596942 0
"CG11377" 0.0166932297951705 0.0233743611622308 0.0434359428330124 0.0702681074096484 0.136568379420768 0.329604373200137 0.453540418530636 0.0910362147386249 0.0207477058224287
"me31B" 0.779069231493107 0.82685196078708 1.02862003294693 0.940545720760419 1.41441353755275 1.80529485207342 2.57454067454552 0.742167452454424 0.54392151942034
"chico" 0.00882500052529195 0.0153169574234832 0.0214323353791191 0.0298910363383515 0.028657952057972 0.0384947682630751 0.159466262846992 0.0347053800140244 0.0266499713844247
"CR44995" 0.0149703012395238 0.0175070500386018 0.0186802258865519 0.00681310395765408 0.0143896739145855 0.00697987221040194 0.00661801027115019 0.0338082281705894 0
"bsk" 0.280924735921997 0.253379282008935 0.252557347284339 0.308085904230039 0.345783646008102 0.497249649294558 0.725029751400596 0.366180731817214 0.119195943963062
"CG31717" 0.186755967743787 0.310159211400142 0.945226290629229 1.03359022401252 1.74522551364262 1.47874525313856 1.38001452807714 0.510397010824054 0.206685441635252
"Ror" 0.00100356103598007 0.000267712351110103 0.000867980860750846 0.00371416350817909 0.00211480131037591 0.0187932048176852 0.0450171481970251 0 0.010386373078521
"CG5676" 0.398277714153762 0.36396998361791 0.539710994576339 1.28883475193428 2.37426095721561 5.51809944428994 7.44865288341621 0.579908747912137 0.266018108669825
